Balance,NumOfProducts,IsActiveMember,EstimatedSalary,Exited,CreditScore_scaler,Age_scaler,Geography_Germany,Geography_Spain,Gender_Male
0.0,2,1,125253.46,0,-1.7708674238148034,-0.4669614917571405,0.0,0.0,0.0
0.0,2,0,40721.24,1,0.1651852181275704,0.009210074329666045,0.0,1.0,0.0
113674.2,1,0,197861.16,1,-0.5113923180350871,-1.228835997496031,1.0,0.0,0.0
0.0,2,0,157822.54,0,1.6952913383723498,0.9615532065032791,0.0,0.0,1.0
0.0,1,0,60584.33,0,0.9146249504923603,-0.4669614917571405,0.0,0.0,1.0
109175.14,2,0,114566.47,0,-0.001356944620160684,-1.3240703107133922,1.0,0.0,0.0
102251.57,1,0,120672.09,0,-0.32403238494388964,-0.4669614917571405,1.0,0.0,0.0
0.0,1,0,21006.1,1,-0.9589743804196145,0.6758502668511952,0.0,0.0,0.0
132876.23,1,0,79259.77,0,-0.9069299545609485,0.8663188932859178,0.0,1.0,1.0
0.0,2,1,67667.19,0,0.5399050843099653,-0.7526644314092245,0.0,1.0,1.0
0.0,2,1,146821.42,0,1.060349342896625,0.8663188932859178,0.0,0.0,1.0
142072.02,1,0,37013.29,0,0.23804741432970275,0.5806159536338339,0.0,0.0,1.0
131938.92,2,1,1795.93,0,-1.3024675910868098,-0.6574301181918631,1.0,0.0,0.0
179915.85,1,0,14666.35,1,-0.38648569597428883,0.19967870076438865,0.0,1.0,0.0
0.0,1,1,84012.81,0,-0.719570021469751,-0.9431330578439471,0.0,0.0,0.0
161814.64,2,0,169381.9,0,0.39418069190570065,-0.5621958049745018,1.0,0.0,1.0
122793.96,1,1,62002.04,0,-0.36566792563082245,0.5806159536338339,1.0,0.0,0.0
108546.16,3,0,133807.77,1,-0.2719879590852237,-0.2764928653224179,0.0,0.0,1.0
0.0,2,0,172175.9,0,-1.8437296200169357,0.5806159536338339,0.0,0.0,1.0
140278.99,3,1,171457.06,1,-1.0526543469652132,-0.08602423888769527,0.0,0.0,1.0
0.0,1,1,168650.4,0,0.2692740698449023,1.818662025459531,0.0,0.0,1.0
57657.49,1,0,79240.9,0,0.33172738087530146,-0.8478987446265858,0.0,0.0,1.0
129209.48,1,0,60151.77,0,1.7993801900896818,0.5806159536338339,0.0,0.0,1.0
155176.83,2,1,49653.37,0,0.7272650174011628,-0.2764928653224179,0.0,0.0,1.0
80964.57,2,0,174738.2,0,-0.09503691116575942,-0.8478987446265858,0.0,0.0,1.0
0.0,2,1,167984.72,0,0.737673902572896,-0.08602423888769527,0.0,0.0,0.0
191775.65,1,0,179657.83,0,1.1540293094422238,-0.6574301181918631,0.0,0.0,1.0
107959.39,1,1,6985.34,1,-0.19912576288309133,1.0567875197206404,1.0,0.0,0.0
0.0,2,1,81140.09,0,-0.4593478921764212,0.4853816404164726,0.0,0.0,1.0
97339.99,1,1,88815.25,0,2.0700112045547447,0.10444438754702735,0.0,0.0,1.0
